"quarter" "time" "price"
"1992K1" 1992 7986
"1992K2" 1992.25 7698
"1992K3" 1992.5 7869
"1992K4" 1992.75 7806
"1993K1" 1993 7261
"1993K2" 1993.25 7409
"1993K3" 1993.5 7456
"1993K4" 1993.75 7695
"1994K1" 1994 8791
"1994K2" 1994.25 7556
"1994K3" 1994.5 8674
"1994K4" 1994.75 8023
"1995K1" 1995 7452
"1995K2" 1995.25 7443
"1995K3" 1995.5 7781
"1995K4" 1995.75 8101
"1996K1" 1996 7902
"1996K2" 1996.25 8493
"1996K3" 1996.5 8767
"1996K4" 1996.75 8963
"1997K1" 1997 8743
"1997K2" 1997.25 9053
"1997K3" 1997.5 9500
"1997K4" 1997.75 10398
"1998K1" 1998 10933
"1998K2" 1998.25 11139
"1998K3" 1998.5 11011
"1998K4" 1998.75 11739
"1999K1" 1999 12240
"1999K2" 1999.25 13192
"1999K3" 1999.5 12988
"1999K4" 1999.75 14007
"2000K1" 2000 13135
"2000K2" 2000.25 13753
"2000K3" 2000.5 14188
"2000K4" 2000.75 14965
"2001K1" 2001 14949
"2001K2" 2001.25 15458
"2001K3" 2001.5 16410
"2001K4" 2001.75 16145
"2002K1" 2002 15615
"2002K2" 2002.25 16942
"2002K3" 2002.5 17080
"2002K4" 2002.75 17258
"2003K1" 2003 16184
"2003K2" 2003.25 17653
"2003K3" 2003.5 18176
"2003K4" 2003.75 17982
"2004K1" 2004 18679
"2004K2" 2004.25 20032
"2004K3" 2004.5 18990
"2004K4" 2004.75 19447
"2005K1" 2005 21985
"2005K2" 2005.25 23074
"2005K3" 2005.5 25284
"2005K4" 2005.75 28159
"2006K1" 2006 28929
"2006K2" 2006.25 32807
"2006K3" 2006.5 31339
"2006K4" 2006.75 30673
"2007K1" 2007 27040
"2007K2" 2007.25 28035
"2007K3" 2007.5 26119
"2007K4" 2007.75 24531
"2008K1" 2008 27101
"2008K2" 2008.25 24029
"2008K3" 2008.5 21107
"2008K4" 2008.75 18635
"2009K1" 2009 17353
"2009K2" 2009.25 20144
"2009K3" 2009.5 19973
"2009K4" 2009.75 20317
"2010K1" 2010 19940
"2010K2" 2010.25 20969
"2010K3" 2010.5 19102
"2010K4" 2010.75 21094
"2011K1" 2011 20523
"2011K2" 2011.25 21328
"2011K3" 2011.5 18898
"2011K4" 2011.75 17579
"2012K1" 2012 20052
"2012K2" 2012.25 19179
"2012K3" 2012.5 18133
"2012K4" 2012.75 20827
"2013K1" 2013 21949
"2013K2" 2013.25 20246
"2013K3" 2013.5 22023
"2013K4" 2013.75 24159
"2014K1" 2014 23416
"2014K2" 2014.25 25155
"2014K3" 2014.5 23133
"2014K4" 2014.75 24141
"2015K1" 2015 24458
"2015K2" 2015.25 26596
"2015K3" 2015.5 27155
"2015K4" 2015.75 27022
"2016K1" 2016 27128
