"Date","Time","NOx"
"17-10","  4- 5",38.25
"17-10","  3- 4",18.35
"17-10","  2- 3",16.01
"17-10","  1- 2",18.7
"17-10","  0- 1",16.74
"16-10"," 23-24",20.57
"16-10"," 22-23",30.2
"16-10"," 21-22",37.68
"16-10"," 20-21",42.89
"16-10"," 19-20",42.86
"16-10"," 18-19",54.28
"16-10"," 17-18",61.86
"16-10"," 16-17",62.08
"16-10"," 15-16",61.27
"16-10"," 14-15",61.63
"16-10"," 13-14",58.78
"16-10"," 12-13",56.93
"16-10"," 11-12",55.58
"16-10"," 10-11",62.55
"16-10","  9-10",46.6
"16-10","  8- 9",33.98
"16-10","  7- 8",27.06
"16-10","  6- 7",22.33
"16-10","  5- 6",22.89
"16-10","  4- 5",20.32
"16-10","  3- 4",20.6
"16-10","  2- 3",19.24
"16-10","  1- 2",21.41
"16-10","  0- 1",22.43
"15-10"," 23-24",19.91
"15-10"," 22-23",29.19
"15-10"," 21-22",37.2
"15-10"," 20-21",28.6
"15-10"," 19-20",38.94
"15-10"," 18-19",29.83
"15-10"," 17-18",30.71
"15-10"," 16-17",32.48
"15-10"," 15-16",33.55
"15-10"," 14-15",28.29
"15-10"," 13-14",39.54
"15-10"," 12-13",38.58
"15-10"," 11-12",36.83
"15-10"," 10-11",32.74
"15-10","  9-10",32.53
"15-10","  8- 9",31.12
"15-10","  7- 8",20.13
"15-10","  6- 7",21.77
"15-10","  5- 6",12.88
"15-10","  4- 5",10.91
"15-10","  3- 4",9.61
"15-10","  2- 3",12.26
"15-10","  1- 2",20.18
"15-10","  0- 1",23.38
"14-10"," 23-24",29.71
"14-10"," 22-23",28.41
"14-10"," 21-22",23.48
"14-10"," 20-21",22.17
"14-10"," 19-20",20.47
"14-10"," 18-19",28.2
"14-10"," 17-18",36.27
"14-10"," 16-17",43.47
"14-10"," 15-16",50.42
"14-10"," 14-15",67.55
"14-10"," 13-14",78.68
"14-10"," 12-13",84.26
"14-10"," 11-12",86.1
"14-10"," 10-11",82.05
"14-10","  9-10",94.54
"14-10","  8- 9",101.89
"14-10","  7- 8",168.74
"14-10","  6- 7",161.6
"14-10","  5- 6",126.05
"14-10","  4- 5",23.21
"14-10","  3- 4",8.82
"14-10","  2- 3",6.91
"14-10","  1- 2",8.05
"14-10","  0- 1",9.86
"13-10"," 23-24",11.36
"13-10"," 22-23",17.95
"13-10"," 21-22",28.78
"13-10"," 20-21",25.16
"13-10"," 19-20",24.6
"13-10"," 18-19",25.09
"13-10"," 17-18",46.17
"13-10"," 16-17",55.2
"13-10"," 15-16",66.01
"13-10"," 14-15",79.99
"13-10"," 13-14",88.01
"13-10"," 12-13",60.64
"13-10"," 11-12",84.54
"13-10"," 10-11",110.12
"13-10","  9-10",111.12
"13-10","  8- 9",116.99
"13-10","  7- 8",151.58
"13-10","  6- 7",124.17
"13-10","  5- 6",59.91
"13-10","  4- 5",27
"13-10","  3- 4",11.05
"13-10","  2- 3",7.55
"13-10","  1- 2",7.1
"13-10","  0- 1",8.05
"12-10"," 23-24",9.79
"12-10"," 22-23",17.37
"12-10"," 21-22",30.7
"12-10"," 20-21",33.99
"12-10"," 19-20",34.46
"12-10"," 18-19",38.93
"12-10"," 17-18",54.91
"12-10"," 16-17",68.9
"12-10"," 15-16",81.59
"12-10"," 14-15",145.94
"12-10"," 13-14",112.35
"12-10"," 12-13",79.61
"12-10"," 11-12",87.8
"12-10"," 10-11",109.97
"12-10","  9-10",100.61
"12-10","  8- 9",107.98
"12-10","  7- 8",148.81
"12-10","  6- 7",144.95
"12-10","  5- 6",52.73
"12-10","  4- 5",16.57
"12-10","  3- 4",7.48
"12-10","  2- 3",7.02
"12-10","  1- 2",6.2
"12-10","  0- 1",8.57
"11-10"," 23-24",8.8
"11-10"," 22-23",35.02
"11-10"," 21-22",27.37
"11-10"," 20-21",24.08
"11-10"," 19-20",40.08
"11-10"," 18-19",53.36
"11-10"," 17-18",60.35
"11-10"," 16-17",60.63
"11-10"," 15-16",69.01
"11-10"," 14-15",85.03
"11-10"," 13-14",101.82
"11-10"," 12-13",91.52
"11-10"," 11-12",109.06
"11-10"," 10-11",93.35
"11-10","  9-10",110.64
"11-10","  8- 9",128.07
"11-10","  7- 8",121.28
"11-10","  6- 7",127.46
"11-10","  5- 6",70.16
"11-10","  4- 5",20
"11-10","  3- 4",7.84
"11-10","  2- 3",5.44
"11-10","  1- 2",6.17
"11-10","  0- 1",7.8
"10-10"," 23-24",11.36
"10-10"," 22-23",18.59
"10-10"," 21-22",22.35
"10-10"," 20-21",29.53
"10-10"," 19-20",33.64
"10-10"," 18-19",37.58
"10-10"," 17-18",47.34
"10-10"," 16-17",79.59
"10-10"," 15-16",112.72
"10-10"," 14-15",119.55
"10-10"," 13-14",126.31
"10-10"," 12-13",120.37
"10-10"," 11-12",144.13
"10-10"," 10-11",129.41
"10-10","  9-10",144.96
"10-10","  8- 9",189.1
"10-10","  7- 8",233.83
"10-10","  6- 7",193.09
"10-10","  5- 6",90.32
"10-10","  4- 5",30.32
"10-10","  3- 4",7.97
"10-10","  2- 3",5.1
"10-10","  1- 2",6.79
"10-10","  0- 1",8.48
"09-10"," 23-24",10.08
"09-10"," 22-23",16.57
"09-10"," 21-22",22.78
"09-10"," 20-21",28.57
"09-10"," 19-20",33.59
"09-10"," 18-19",50.64
"09-10"," 17-18",54.28
"09-10"," 16-17",61.72
"09-10"," 15-16",59.37
"09-10"," 14-15",57.16
"09-10"," 13-14",57.79
"09-10"," 12-13",72.78
"09-10"," 11-12",63.77
"09-10"," 10-11",48.33
"09-10","  9-10",42.85
"09-10","  8- 9",39.03
"09-10","  7- 8",20.47
"09-10","  6- 7",14.19
"09-10","  5- 6",12.76
"09-10","  4- 5",11.59
"09-10","  3- 4",16.35
"09-10","  2- 3",22.2
"09-10","  1- 2",20.78
"09-10","  0- 1",22.5
"08-10"," 23-24",27.37
"08-10"," 22-23",32.37
"08-10"," 21-22",28.1
"08-10"," 20-21",23.73
"08-10"," 19-20",25.77
"08-10"," 18-19",32.13
"08-10"," 17-18",42.69
"08-10"," 16-17",43.95
"08-10"," 15-16",46.09
"08-10"," 14-15",47.48
"08-10"," 13-14",52.62
"08-10"," 12-13",50.02
"08-10"," 11-12",52.36
"08-10"," 10-11",46.43
"08-10","  9-10",51.14
"08-10","  8- 9",38.92
"08-10","  7- 8",31.47
"08-10","  6- 7",17.71
"08-10","  5- 6",23.8
"08-10","  4- 5",10.13
"08-10","  3- 4",12.69
"08-10","  2- 3",16.56
"08-10","  1- 2",15.5
"08-10","  0- 1",18.61
"07-10"," 23-24",26.68
"07-10"," 22-23",27.88
"07-10"," 21-22",35.92
"07-10"," 20-21",63.33
"07-10"," 19-20",56.42
"07-10"," 18-19",76.04
"07-10"," 17-18",102.71
"07-10"," 16-17",103.62
"07-10"," 15-16",85.83
