,Klist,class0test,class0train,class1test,class1train
0,1,17003.6392843,17142.5870993,17632.3076614,17889.2352282
1,2,20505.9290862,21054.2623345,19898.4949278,20662.8899103
2,3,22383.8797567,22846.3231326,21701.9974806,22523.8865276
3,4,23285.7756954,23955.4812331,22441.0043626,23346.3256229
4,5,24115.7201627,24925.8986662,23051.0611804,24156.5108104
5,6,24820.4553122,25651.3384883,23962.8302961,24821.9054114
6,7,25447.2487043,26186.1108683,24306.3550538,25241.9616954
7,8,25788.7700892,26648.5283333,24581.9132508,25625.4805896
8,9,25984.839443,26997.3026736,24843.8723693,25986.4280698
9,10,26271.1901422,27330.7705424,24967.8637088,26279.2996762
10,11,26309.0449111,27610.1930519,25190.9613847,26576.3813486
11,12,26556.9580031,27861.8880788,25381.3065901,26853.6214917
12,13,26768.644664,28082.6845396,25562.551953,27105.7842461
13,14,26946.6756351,28302.5111428,25692.9836095,27314.5322123
14,15,26970.9770932,28530.5397073,25891.5541651,27515.5454641
15,16,27112.5831061,28718.3705469,26008.5217431,27687.8581903
16,17,27166.4089578,28899.8536486,26018.6521481,27869.3121855
17,18,27421.9759486,29083.4954185,26133.618915,28027.9571099
18,19,27474.2212652,29240.0374798,26271.4065112,28220.1205029
19,20,27462.4038289,29421.7390628,26412.3048383,28364.1675827
20,21,27608.883207,29535.1857371,26405.0694359,28456.0813929
21,22,27625.6754928,29690.1522902,26510.1565208,28614.1357096
22,23,27833.1809221,29859.4613027,26650.7102343,28757.5405057
23,24,27805.2719698,29953.3775152,26583.1340305,28860.4498224
24,25,27886.4351439,30084.8825593,26714.7116795,28979.7630146
