                                 The SAS System                                1
                                                 07:08 Monday, November 19, 2001

                   energy_
            Obs    content    plastics    paper    garbage     water

              1       947       18.69     15.65     45.01     58.210
              2      1407       19.43     23.51     39.69     46.310
              3      1452       19.24     24.23     43.16     46.630
              4      1553       22.64     22.20     35.76     45.850
              5       989       16.54     23.56     41.20     55.140
              6      1162       21.44     23.65     35.56     54.240
              7      1466       19.53     24.45     40.18     47.200
              8      1656       23.97     19.39     44.11     43.820
              9      1254       21.45     23.84     35.41     51.010
             10      1336       20.34     26.50     34.21     49.060
             11      1097       17.03     23.46     32.45     53.230
             12      1266       21.03     26.99     38.19     51.780
             13      1401       20.49     19.87     41.35     46.690
             14      1223       20.45     23.03     43.59     53.570
             15      1216       18.81     22.62     42.20     52.980
             16      1334       18.28     21.87     41.50     47.444
             17      1155       21.41     20.47     41.20     54.680
             18      1453       25.11     22.59     37.02     48.740
             19      1278       21.04     26.27     38.66     53.220
             20      1153       17.99     28.22     44.18     53.370
             21      1225       18.73     29.39     34.77     51.060
             22      1237       18.49     26.58     37.55     50.660
             23      1327       22.08     24.88     37.07     50.720
             24      1229       14.28     26.27     35.80     48.240
             25      1205       17.74     23.61     37.36     49.920
             26      1221       20.54     26.58     35.40     53.580
             27      1138       18.25     13.77     51.32     51.380
             28      1295       19.09     25.62     39.54     50.130
             29      1391       21.25     20.63     40.72     48.670
             30      1372       21.62     22.71     36.22     48.190
